EPI ID,Year,Number of Glycosylation Sites,EPI_ISL
EPI221918,2007,9,EPI_ISL_63488
EPI222002,2007,9,EPI_ISL_63498
EPI499480,2009,9,EPI_ISL_153622
EPI499481,2011,9,EPI_ISL_153623
EPI499479,2010,9,EPI_ISL_153621
EPI164205,2007,9,EPI_ISL_24600
EPI499482,2010,9,EPI_ISL_153624
EPI164216,2005,9,EPI_ISL_24603
EPI499483,2010,9,EPI_ISL_153625
EPI164224,2006,9,EPI_ISL_24604
EPI164232,2006,9,EPI_ISL_24605
EPI164240,2005,9,EPI_ISL_24606
EPI597677,2005,9,EPI_ISL_181276
EPI164250,2005,9,EPI_ISL_24607
EPI2528164,2023,0,EPI_ISL_17527083
EPI164258,2005,9,EPI_ISL_24608
EPI164266,2005,9,EPI_ISL_24609
EPI222148,2007,9,EPI_ISL_63521
EPI164277,2006,9,EPI_ISL_24610
EPI164285,2006,9,EPI_ISL_24611
EPI286380,2007,5,EPI_ISL_80933
EPI286379,2007,5,EPI_ISL_80932
EPI164301,2006,8,EPI_ISL_24613
EPI164309,2006,9,EPI_ISL_24614
EPI286382,2007,9,EPI_ISL_80935
EPI167617,2007,9,EPI_ISL_25639
EPI286381,2007,9,EPI_ISL_80934
EPI164317,2006,9,EPI_ISL_24615
EPI164325,2006,9,EPI_ISL_24616
EPI286383,2007,9,EPI_ISL_80936
EPI167633,2007,9,EPI_ISL_25641
EPI164333,2006,9,EPI_ISL_24617
EPI164341,2006,9,EPI_ISL_24618
EPI164349,2006,9,EPI_ISL_24619
EPI164357,2006,9,EPI_ISL_24620
EPI164365,2006,9,EPI_ISL_24621
EPI286389,2007,9,EPI_ISL_80942
EPI164381,2006,9,EPI_ISL_24623
EPI167687,2007,9,EPI_ISL_25648
EPI167694,2007,9,EPI_ISL_25649
EPI167702,2007,9,EPI_ISL_25650
EPI167708,2007,9,EPI_ISL_25651
EPI167714,2007,9,EPI_ISL_25652
EPI167722,2007,9,EPI_ISL_25653
EPI383240,2007,8,EPI_ISL_123959
EPI167730,2007,9,EPI_ISL_25654
EPI123794,2006,9,EPI_ISL_13367
EPI167737,2007,9,EPI_ISL_25655
EPI123796,2006,9,EPI_ISL_13368
EPI167743,2007,9,EPI_ISL_25656
EPI123798,2006,9,EPI_ISL_13369
EPI167751,2007,8,EPI_ISL_25657
EPI123800,2006,9,EPI_ISL_13370
EPI383260,2007,8,EPI_ISL_123962
EPI105404,2005,9,EPI_ISL_10302
EPI333197,2008,9,EPI_ISL_95301
EPI476972,2010,8,EPI_ISL_148554
EPI476973,2010,9,EPI_ISL_148555
EPI167858,2007,9,EPI_ISL_25676
EPI1892852,2010,9,EPI_ISL_4055148
EPI167953,2007,9,EPI_ISL_25688
EPI105547,2006,5,EPI_ISL_10332
EPI460112,2008,9,EPI_ISL_143457
EPI168064,2008,9,EPI_ISL_25702
EPI532495,2013,1,EPI_ISL_162927
EPI532498,2013,1,EPI_ISL_162930
EPI222568,2007,9,EPI_ISL_63600
EPI97209,Unknown,9,EPI_ISL_9329
EPI222584,2007,9,EPI_ISL_63602
EPI153471,2008,9,EPI_ISL_19571
EPI532497,2013,1,EPI_ISL_162929
EPI164542,2007,9,EPI_ISL_24693
EPI164550,2007,9,EPI_ISL_24694
EPI164558,2007,9,EPI_ISL_24695
EPI164566,2007,9,EPI_ISL_24696
EPI164574,2007,9,EPI_ISL_24697
EPI286615,2007,9,EPI_ISL_81016
EPI328886,2008,9,EPI_ISL_94331
EPI328894,2009,9,EPI_ISL_94332
EPI492324,2007,9,EPI_ISL_151694
EPI492325,2008,9,EPI_ISL_151695
EPI492328,2010,9,EPI_ISL_151698
EPI492326,2011,9,EPI_ISL_151696
EPI492327,2010,9,EPI_ISL_151697
EPI115053,2006,9,EPI_ISL_11414
EPI463680,2009,9,EPI_ISL_144532
EPI106026,2006,9,EPI_ISL_10391
EPI115055,2007,9,EPI_ISL_11415
EPI620814,2007,9,EPI_ISL_190622
EPI275726,2007,8,EPI_ISL_77982
EPI275742,2008,9,EPI_ISL_77984
EPI275766,2009,9,EPI_ISL_77987
EPI1517056,2011,9,EPI_ISL_369825
EPI275774,2005,9,EPI_ISL_77988
EPI106235,2006,8,EPI_ISL_10411
EPI106239,2006,8,EPI_ISL_10412
EPI275838,2009,9,EPI_ISL_77996
EPI106243,2006,9,EPI_ISL_10413
EPI275878,2008,10,EPI_ISL_78001
EPI275870,2005,9,EPI_ISL_78000
